front	back	difficulty	source
Sun	sun.jpg	easy	Wikipedia: HalloweenNight
Sun	At the center of the solar system	easy
Sun	Hydrogen fusion occurs here	medium
Sun	Radius: 695,700 km	hard
Jupiter	jupiter.jpg	easy	Wikipedia: NASA, ESA, and A. Simon (Goddard Space Flight Center)
Jupiter	Fifth planet from the Sun	medium
Jupiter	Largest planet in the solar system	easy
Jupiter	Radius: 69,911 km	hard
Saturn	saturn.jpg	easy	Wikipedia: NASA / JPL / Space Science Institute
Saturn	Sixth planet from the Sun	medium
Saturn	Planet with the largest rings	easy
Saturn	Radius: 58,232 km	hard
Uranus	uranus.jpg	medium	Wikipedia: NASA/JPL-Caltech
Uranus	Seventh planet from the Sun	medium
Uranus	Axis of rotation is almost parallel with the plane of the Solar System	hard
Uranus	Radius: 25,362 km	hard
Neptune	neptune.jpg	medium	Wikipedia: NASA
Neptune	Eighth planet from the Sun	medium
Neptune	Radius: 24,764 km	hard
Earth	earth.jpg	easy	Wikipedia: NASA/Apollo 17 crew
Earth	Only planet know to have life	easy
Earth	Third planet from the Sun	medium
Earth	Radius: 6,371 km	hard
Venus	venus.jpg	medium	Wikipedia: NASA or Ricardo Nunes
Venus	Rotates in the opposite direction to most other planets	medium
Venus	Second planet from the Sun	medium
Venus	Radius: 6,051 km	hard
Mars	mars.jpg	easy	Wikipedia: ESA - European Space Agency & Max-Planck Institute for Solar System Research for OSIRIS Team ESA/MPS/UPD/LAM/IAA/RSSD/INTA/UPM/DASP/IDA
Mars	Fourth planet from the Sun	medium
Mars	Has two polar ice caps and evidence of past liquid water	easy
Mars	Radius: 3,389 km	hard
Ganymede
Ganymede
Ganymede
Ganymede
Titan
Titan
Titan
Titan
Mercury
Mercury
Mercury
Mercury
Callisto
Callisto
Callisto
Callisto
Io
Io
Io
Io
Moon
Moon
Moon
Moon
Europa
Europa
Europa
Europa
Triton
Triton
Triton
Triton
Pluto
Pluto
Pluto
Pluto
Titania
Titania
Titania
Titania
Rhea
Rhea
Rhea
Rhea
Oberon
Oberon
Oberon
Oberon
Iapetus
Iapetus
Iapetus
Iapetus
Charon
Charon
Charon
Charon
Umbriel
Umbriel
Umbriel
Umbriel
Ariel
Ariel
Ariel
Ariel
Dione
Dione
Dione
Dione
Tethys
Tethys
Tethys
Tethys
Ceres
Ceres
Ceres
Ceres
Vesta
Vesta
Vesta
Vesta
Enceladus
Enceladus
Enceladus
Enceladus
Miranda
Miranda
Miranda
Miranda
Proteus
Proteus
Proteus
Proteus
Mimas
Mimas
Mimas
Mimas
Hyperion
Hyperion
Hyperion
Hyperion
Phoebe
Phoebe
Phoebe
Phoebe
Janus
Janus
Janus
Janus
Epimetheus
Epimetheus
Epimetheus
Epimetheus
Lutetia
Lutetia
Lutetia
Lutetia
Prometheus
Prometheus
Prometheus
Prometheus
Pandora
Pandora
Pandora
Pandora
Mathilde
Mathilde
Mathilde
Mathilde
Helene
Helene
Helene
Helene
Ida
Ida
Ida
Ida
Phobos
Phobos
Phobos
Phobos
Deimos
Deimos
Deimos
Deimos
